3M,3M,Business,
Abbott Laboratories,abbottnews,Business,
Actavis,Actavis,Business,
Advance Auto Parts,aapdeals,Business,
Advanced Micro Devices,amd,Business,
Aetna,aetna,Business,
Aflac,aflacduck,Business,
AGCO,AGCOcorp,Business,
Agilent Technologies,Agilent?,Business,
Air Products & Chemicals,AirProducts,Business,
Alcoa,alcoa,Business,
Allergen,Allergan,Business,
Allstate,allstate,Business,
Ally Financial,allybank,Business,
Altria Group,AltriaNews?,Business,
Amazon.com,amazon?,Business,
Ameren,AmerenCorp,Business,
American Electric Power,AEPnews,Business,
American Express,americanexpress,Business,
American Family Insurance Group,amfam,Business,
American International Group,AIGinsurance,Business,
Ameriprise Financial,Ameriprise_News,Business,
AmerisourceBergan,Healthcare_ABC,Business,
Amgen,amgen,Business,
Andersons,andersonsgrain,Business,
Anixter International,anixter,Business,
Apache,ApacheCorp,Business,
Apollo Distribution Solutions,ApolloCardiff,Business,
Apple,Apple,Business,
Applied Matertials,Applied_Blog,Business,
Archer Daniels Midland,TradeADMIS,Business,
Arrow Electronics,ArrowGlobal,Business,
Ashland,ashlandinc,Business,
Aspect Commercial Interiors,aspectinterior_,Business,
Assurant,assurantnews,Business,
AT&T,ATT?,Business,
Autoliv,AutolivInc?,Business,
Automatic Data Processing,adp,Business,
AutoNation,AutoNation,Business,
AutoZone,#!/autozone,Business,
Avaya,avaya,Business,
Avery Dennison,AveryDennison,Business,
Avis Budget Group,GoAvisBudget?,Business,
Avnet,Avnet,Business,
Avon Products,AvonInsider?,Business,
Baker Hughes,BHInc,Business,
Ball,#!/ballcorpHQ,Business,
Bank of America Corporation,bankofamerica?,Business,
Bank of New York Mellon Corp.,bnymellon,Business,
Barnes & Noble,BNBuzz,Business,
Baxter International,baxter_intl?WT.svl=www.baxter.com,Business,
Becton Dickinson,BDCorpNews?,Business,
Bed Bath & Beyond,bedbathbeyond,Business,
Berkshire Hathaway,BRK_B?,Business,
Best Buy,BestBuy,Business,
Big Lots,biglots,Business,
Biogen,Biogen_Idec_MS,Business,
BlackRock,#!/blackrock,Business,
Boeing,Boeing,Business,
Booz Allen Hamilton Holding,BoozAllen,Business,
BorgWarner,EFRturbo,Business,
Boston Scientific,bostonsci,Business,
Bristol-Meyers Squibb,BMSNEWS,Business,
Broadcom,Broadcom,Business,
CA,CAInc,Business,
Caesar's Entertainment,total_rewards,Business,
Campbell,backdropsource,Business,
Campbell Soup,CampbellSoupCo,Business,
Cardinal Health,cardinalhealth,Business,
CarMax,CarMax,Business,
Casey's General Stores,#!/CaseysGenStore,Business,
Caterpillar,CaterpillarInc?,Business,
CBRE Group,CBRE,Business,
CBS,cbs,Business,
CC Media Holdings,clearchannel,Business,
CDW,#!/CDWCorp,Business,
Celanese,Celanese,Business,
Celgene,Celgene,Business,
Centene,Centene,Business,
CenterPoint Energy,energyinsights,Business,
CenturyLink,centurylink,Business,
CF Industries Holdings,CFIndustries?,Business,
CH Robinson Worldwide,#!/chrobinsoninc,Business,
CH2M Hill,ch2mhill,Business,
Charles Schwab,charlesschwab,Business,
Charter Communications,CharterCom/,Business,
Chesapeake Energy,Chesapeake,Business,
Chevron,Chevron?,Business,
Chubb,ChubbInsurance,Business,
Cigna,cigna,Business,
Citigroup,#!/citi,Business,
Cliffs Natural Resources,CliffsNR,Business,
Clorox,clorox,Business,
CMS Energy,ConsumersEnergy,Business,
Coca-Cola,COCACOLACO,Business,
Cognizant Technology Solutions,cognizant,Business,
Colgate-Palmolive,Colgate?,Business,
Comcast,XFINITY,Business,
ConAgra Foods,ConAgraFoods,Business,
ConocoPhillips,conocophillips,Business,
Consol Energy,CONSOL_Energy?,Business,
Consolidated Edison,ConEdison?,Business,
Corning,corning,Business,
Costco Wholesale,CostcoTweets?,Business,
Coventry Health Care,MyCoventryCares?,Business,
CSX,CSX,Business,
Cummins,Cummins,Business,
CVS Caremark,CVS_Extra,Business,
Dana Holding,DanaHoldingCorp,Business,
Darden Restaurants,Darden_News,Business,
DaVita HealthCare Partners,intent/follow?original_referer=http%3A%2F%2Fwww.davita.com%2F%3FwebSyncID%3D97170393-a84e-2b0d-bed3-3718867e0bc4%26sessionGUID%3De2dd4714-b053-8d3a-ada5-b5e8aee461e5&region=follow_link&screen_name=DaVita&tw_p=followbutton&variant=2.0,Business,
Dean Foods,deanfoods?,Business,
Deere,johndeere,Business,
Dell,Dell?,Business,
Delta Air Lines,#!/delta,Business,
Devon Energy,DevonEnergy?,Business,
Dick's Sporting Goods,dicks,Business,
Digital Marketing Agency Manchester,MCRagency,Business,
Digital Marketing Agency Manchester,MCRagency,Business,
Dillard's,DillardsStores,Business,
Direct TV,directv,Business,
DirectoryBug,DBugLocal,Business,
DISH Network,dish?WT.svl=footer,Business,
Dollar General,DollarGeneral,Business,
Dollar Tree,dollartree,Business,
Domtar,share?url=http://www.domtar.com,Business,
Dow Chemical,DowChemical,Business,
Dr Pepper Snapple Group,drpeppersnapple,Business,
"Dr. H. Peter Ku, DDS., P.A.",DrPeterKuDDS,Business,
DTE Energy,DTE_Energy/,Business,
Duke Energy,DukeEnergyNews,Business,
DuPont,dupont_news,Business,
Eastman Chemical,#!/EastmanChemCo,Business,
Easy Rest Adjustable Bed Sleep Systems,#!/EasyRestBeds,Business,
eBay,#!/eBay,Business,
Ecolab,Ecolab,Business,
Edison International,SCE,Business,
Eli Lilly,LillyPad?,Business,
EMC,@emccorp,Business,
Emerson Electric,#!/Emerson_news,Business,
Empower Network,empowernetcorp,Business,
Enbridge Energy Partners,Enbridge/status/25836624217,Business,
Enterprise Products Partners,SNLFinancial,Business,
Erie Insurance Group,erie_insurance,Business,
Est,EsteeLauder,Business,
Exelis,exelisinc,Business,
Express Scripts Holding,ExpressScripts?,Business,
Exxon Mobile,exxonmobil,Business,
Facebook,facebook,Business,
Fannie Mae,FannieMae,Business,
FedEx,fedex,Business,
FeedBackDog,feedbackdog,Business,
Fernando Cavia,ReikiRosarioFC,Business,
Fifth Third Bancorp,fifththird,Business,
First Data,FirstData,Business,
Fluor,fluorcorp,Business,
FMC Technologies,fmc_tech,Business,
Foot Locker,footlocker,Business,
Ford Motor,Ford,Business,
Franklin Resources,FTI_US,Business,
Freddie Mac,FreddieMac?,Business,
Frontier Communications,FrontierCorp,Business,
Game Stop,GameStop?,Business,
Gap,gap,Business,
General Dynamics,GDC4Systems,Business,
General Electric,generalelectric,Business,
General Mills,#!/generalmills,Business,
General Motors,GM,Business,
Gilead Sciences,GileadSciences?,Business,
Goldman Sachs Group,goldmansachs,Business,
Goodyear Tire & Rubber,goodyearblimp,Business,
Google,google?,Business,
Graybar Electric,graybar,Business,
Group 1 Automotive,Group1Auto,Business,
H.J.Heinz,HJHeinzCompany?,Business,
Halliburton,halliburton,Business,
Harley-Davidson,harleydavidson,Business,
Hartford Financial Services Group,TheHartford,Business,
HCA Holdings,#!/hcahealthcare,Business,
HD Supply,HDSupplyFM,Business,
Health Management Associates,HealthMgmtAssoc,Business,
Health Net,#!/healthnet,Business,
Henry Schein,henryschein,Business,
Hepays Sugardaddy site,hepays,Business,
Hershey,home?status=http://www.hersheys.com/,Business,
Hertz Global Holdings,#!/Hertz,Business,
Hess,WilcoHess,Business,
Hewlett-Packard,HPNews,Business,
Hillshire Brands,HillshireBrands,Business,
Home Depot,HomeDepot,Business,
Honeywell International,HoneywellNow?,Business,
Hormel Foods,hormelfoodscorp,Business,
Humana,humana,Business,
Huntington Ingalls Industries,hiindustries,Business,
Illinois Tool Works,ITWDynatec,Business,
Ingram Micro,IngramMicroInc,Business,
Ingredion,Ingredion?,Business,
Insight Enterprises,#!/InsightEnt,Business,
Intel,intel,Business,
International Business Machines,IBM?,Business,
International Paper,IntlPaperCo,Business,
Interpublic Group,InterpublicIPG?,Business,
INTL FCStone,INTLFCStone?,Business,
J.C. Penney,jcpenney,Business,
J.M. Smucker,smuckers,Business,
Jaal Shah,designpackages,Business,
Jabil Circuit,JabilCircuitInc,Business,
Jacobs Engineering Group,inengineering/status/40060532274765824?,Business,
JetBlue Airways,jetblue,Business,
Johnson & Johnson,JNJNews,Business,
Joy Global,joyglobalinc?,Business,
KBR,KBRequipment,Business,
Kellog,Kelloggs_US?,Business,
Kelly Services,KellyServices,Business,
Kimberly-Clark,KCCorp,Business,
Kinder Morgan,#!/Kinder_Morgan,Business,
Kindred Healthcare,kindredhealth,Business,
Kohl's,kohls,Business,
Kroger,KrogerCo,Business,
L Brands,limitedbrands,Business,
Laboratory Corp of America,LABCORP,Business,
Land O'Lakes,landolakesktchn,Business,
Las Vegas Sands,#!/lasvegassands,Business,
Lear,LearSAO?,Business,
Level 3 Communications,#!/Level3,Business,
Liberty Mutual Insurance,LibertyMutual,Business,
Lincoln National,lincolnfingroup,Business,
Live Nation Entertainment,livenation,Business,
Lockheed Martin,lockheedmartin,Business,
Lowe's,lowes,Business,
Macy's,#!/macys,Business,
ManpowerGroup,ManpowerGroup,Business,
Marathon Oil,marathonoil,Business,
Marathon Petroleum,MarathonPetroCo?,Business,
"Mark C. Marchbanks, D.D.S.",MarchbanksDDS,Business,
Marriott International,MarriottIntl,Business,
Masco,MascoCareers,Business,
Massachusetts Mutual Life Insurance,#!/massmutual,Business,
MasterCard,mastercard,Business,
Mattel,Mattel?,Business,
McDonald's,mcdonaldscorp,Business,
McGraw-Hill,MHFI,Business,
McKesson,McKesson,Business,
MeadWestvaco,MWVPackaging,Business,
Medtronic,@Medtronic?loc=MDTHomeRefresh_B_InPage_SM_MDTNewsTwitter_Title,Business,
Merck,merck,Business,
Metlife,metlife,Business,
MetroPCS Communications,metropcs,Business,
MGM Resorts International,vegasconcierge,Business,
Michael Miroshnichenko,hetmanrecovery,Business,
Micron Technology,MicronTech,Business,
Microsoft,microsoft,Business,
mjunction services ltd,mjunction_india,Business,
Mohawk Industries,MohawkInd?,Business,
Molina Healthcare,molinahealth,Business,
Monsanto,MonsantoCo,Business,
Morgan Stanley,MorganStanley,Business,
Mosaic,MosaicCompany,Business,
Motorola Solutions,MotoSolutions,Business,
Mundo Football,Mundofootball,Business,
Mutual Of Omaha Insurance,mutualofomaha,Business,
Mylan,MylanNews,Business,
Nash-Finch,nashfinch,Business,
Nationwide,nationwide,Business,
Navistar International,#!/navistar,Business,
NetApp,netapp,Business,
New York Life Insurance,newyorklife,Business,
Newell Rubbermaid,nwlrubbermaid,Business,
Newmont Mining,newmont,Business,
News Corp.,newscorp,Business,
NextEra Energy,nexteraenergy?,Business,
Nike,#!/nike,Business,
NiSource,nisource,Business,
Nordstrom,nordstrom?origin=footer,Business,
Norfolk Southern,nscorp,Business,
Northeast Utilities,#!/NEUtilities,Business,
Northrop Grumman,northropgrumman,Business,
Northwestern Mutual,nm_news,Business,
NRG Energy,#!/nrgenergy,Business,
Nucor,NucorCorp?,Business,
O'Reilly Automotive,OReillyAuto,Business,
Office Depot,OfficeDepot,Business,
OfficeMax,#!/officemaxdeal?cm_re=homepage-_-socialbar-_-twitter&cm_sp=homepage-_-generic-_-twitter,Business,
Omnicare,omnicare,Business,
Omnicom Group,OmniGroup,Business,
Oneok,#!/ONEOK,Business,
Oracle,oracle,Business,
OshKosh,OshkoshDefense,Business,
Owen's & Minor,owensandminor?,Business,
Owens Corning,OwensCorning,Business,
Paccar,PACCARFinancial,Business,
Pacific Life,pacificlife?,Business,
Pantry,#!/KrooExpress,Business,
Parents Press,parentspresseb,Business,
Parker_Hannifin,ParkerHannifin?,Business,
Penske Automotive Group,#!/Penskecarscorp,Business,
Pepco Holdings,PepcoConnect?,Business,
PepsiCo,pepsico,Business,
Peter Kiewit Sons',kiewit,Business,
PetSmart,petsmart,Business,
Pfizer,pfizer_news,Business,
PG&E Corp.,PGE4Me,Business,
Phillip Morris International,intent/follow?original_referer=https%3A%2F%2Ftwitter.com%2Fabout%2Fresources%2Fbuttons&region=follow_link&screen_name=PMI_PressOffice&tw_p=followbutton&variant=2.0,Business,
Phillips 66,Phillips66Co?,Business,
Pitney Bowes,#!/pitneybowes/pitney-bowes-tweeps,Business,
PNC Financial Services Group,pncnews,Business,
PPG Industries,ppgindustries,Business,
PPL,PPLElectric,Business,
Praxair,intent/user?screen_name=PraxairInc,Business,
Priceline.com,priceline,Business,
Principal Financial,ThePrincipal,Business,
Procter & Gamble,ProcterGamble,Business,
Progressive,progressive,Business,
Prudential Financial,PrudentialNews?,Business,
Publix Super Markets,publix,Business,
Qualcomm,Qualcomm?,Business,
Quest Diagnostics,QuestDX,Business,
Ralph Lauren,RalphLauren,Business,
Raytheon,raytheon,Business,
Regions Financial,askRegions,Business,
Republic Services,RepublicService,Business,
Reynolds American,RAI_News?,Business,
Rite Aid,RiteAid,Business,
Rock-Tenn,RockTenn1,Business,
Rockwell Automation,ROKAutomation,Business,
Ryder System,RyderPR,Business,
Safeway,safeway,Business,
SAIC,SAICinc,Business,
Sallie Mae,SallieMae,Business,
SanDisk,SanDisk,Business,
Sanmina,Sanminacorp,Business,
Sealed Air,sealed_air,Business,
Sears Holdings,#!/searsdeals,Business,
Sempra Energy,sempraenergy,Business,
Sherwin-Williams,SherwinWilliams,Business,
Simon Property Group,SimonPropertyGp,Business,
Smithfield Foods,#!/SmithfieldFoods,Business,
Sonic Automotive,SonicAutomotive,Business,
Southern Company,southerncompany,Business,
Southwest Airlines,SouthwestAir?int=GFOOTER-TOP-TWITTER,Business,
Spectra Energy,#!/spectraenergy,Business,
Sprint Nextel,sprint,Business,
St Jude Medical,StJudeMedicalIR,Business,
Staples,staples,Business,
Starbucks,starbucks/,Business,
Starwood Hotels & Resorts,StarwoodBuzz?,Business,
State Farm Insurance Cos,StateFarm,Business,
State Street Corp,StateStreet,Business,
Steel Dynamics,Dynamicsltd,Business,
Supervalu,supervaluPR,Business,
Symantec,symantec,Business,
Synnex,#!/SYNNEX,Business,
Sysco,Sysco?,Business,
Target,#!/target#?lnk=Other_122913_HP_0_E12_23_11_2013|E12|T:Template_Home5|C:,Business,
Tech Data,Tech_Data?,Business,
Telephone & Data Systems,tdscorporate,Business,
Tenneco,Tennecoontour?,Business,
Terex,terexcorp,Business,
Texas Instruments,txinstruments,Business,
Textron,textron,Business,
Thermo Fisher Scientific,thermosci?,Business,
Thrivent Financial for Lutherans,thrivent,Business,
TIAA-CREF,tc_talks,Business,
Time Warner,#!/twc,Business,
Time Warner Cable,#!/twc,Business,
Timken,Timken,Business,
TJX,TJXCo,Business,
"Toys ""R"" Us",ToysRUs?,Business,
TravelCenters of America,TATravelCenters,Business,
Travelers Cos,TRV_Insurance/,Business,
Tyson Foods,tysonfoods,Business,
U.S. Bancorp,usbank?,Business,
UGI,UGI_Utilities,Business,
Union Pacific,UnionPacific,Business,
United Continental Holdings,united?,Business,
United Natural Foods,#!/UNFI,Business,
United Parcel Service,UPS?,Business,
United Technologies,UTC?,Business,
Universal Health Services,uhsinc_jobs,Business,
Unum Group,unumnews,Business,
URS,urscorp,Business,
US Airways Group,usairways,Business,
Valero Energy,ValeroBRK,Business,
Verizon Communications,#!/Verizon,Business,
VF ,VF_Corporation?,Business,
Viacom,viacom,Business,
Visa,visa,Business,
Visteon,visteon,Business,
VooDoo ZipLine,VooDooZipLine,Business,
W.R. Berkley,WRBerkleyCorp,Business,
W.W. Grainger,grainger,Business,
Wal-Mart Stores,Walmart?,Business,
Walgreen,WALGREENS,Business,
Walt Disney,Disney,Business,
Waste Management,WasteManagement,Business,
WellCare Health Plans,WCGWellCare?,Business,
WellPoint,WellPoint,Business,
Wells Fargo,WellsFargo,Business,
WESCO International,WESCODist?,Business,
Western & Southern Financial,WesternSouthern,Business,
